COURSE_NO,COURSE_TITLE,BILL_HR_LOW,BILL_HR_HIGH,COLLEGE,DEPT,LEVEL,GRADE_MODE,SCHEDULE_TYPE,AVAILABILITY,PRE_REQ,DESCRIPTION
ARAB319,Grammar II,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LL-Lecture/Lab , ","F,S",(ARAB213 OR ARAB241 )AND (ARAB218 OR ARAB346 ),"This course complements the functional grammar purpose of the previous course. It continues with studying of the provisions of prepositions and adjuncts, providing suitable traditional and modern applications for each. This is followed by studying the riders and their significations and provisions. After that, the students are introduced to how infinitives, derivatives and verbal nouns act as verbs, then explains the vocative representations. The course also includes the phrase styles of praise, slander, exclamation, negation, reception, request, alerting, and commencement. The course ends with a collection of parsable and non-parsable phrase forms in a separate lesson. Course contents are accompanied with examples suitable for the situation, and various exercises to enhance applicable grammatical knowledge. All this is done in an active learing atmosphere, employing various assessment tools (research paper on some functional grammar issues, presentations, tests, etc.)"
ARAB326,Literary Text Analysis,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The purpose of this course is to enable the students apply the modern methods acquired in the Modern Literary Criticism course, which dealt with the literary text analysis, and identify the achieved contributions and failures of such methodologies. The analysis focuses on the historical, social, structural, psychological, semiotic, hermeneutical, and deconstructive approaches to analyze texts. Hence the student becomes familiar with the application of these approaches in the analysis of literary text with emphasis on the applied models.  All this is done in an active learing atmosphere, employing various assessment tools (applied presentations on the literary analysis [with a relative weight of up to 10%], and analytical readings of literary texts [10%], then a research paper and tests, etc.)"
ARAB327,Readings in Literary Tradition,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The objective of this course is to make the student aware of the paradox of tradition and modernization in the Arabic culture. Therefore, the theoretical part of the course deals with the intellectual projects, whose owners re-explored theirArabic heritage in order to question and modernize it, such as: Taha Hussein’s project, in both his books “In the pre-Islamic Poetry” and “The Wednesday Interview”, and Adonis, in his book “The Constant and The Variable”, etc. The focus of the practical part is to research those projects, discuss them and analyze some selected texts which embody the most important problems which faced the contemporary Arabic thought in regards to the paradox of tradition and modernization.  All this is done in an active learing atmosphere, employing various assessment tools (applying modern theories in relation to literary tradition [20%], a research paper [10%], presentations and tests, etc.)"
ARAB331,Classical Arabic Criticism,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to provide the student with a set of knowledge, skills and standards that enable him/her to develop his/her ability to think critically. The course starts with the most important sources of classical Arabic criticism, and its famous symbols since Al-djahez through Hazem Alqirtagni. It then moves  to address important criticism issues, such as: the poetry column, the form, the content, poetry thefts, etc., and the importance of these issues in the analysis and critique of the literary text.  All this is done in an active learing atmosphere, employing various assessment tools (research paper, presentations and tests, etc.)"
ARAB351,Introduction to Linguistics,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to enable students to learn the basic principles in the science of linguistics, including the concept of linguistics, methods of linguistic research, and the levels of the general science of linguistics. The goal of the course is achieved by introducing students to the theories of linguistics and its modern applications on the Arabic language. The course also aims at helping students acquire the skills of applying theories and programs of modern linguistic analysis over different language levels (phonetic level, phonological level, morphological level, syntax level, and meaning level). The course provides a variety of methods centered around the application activities for students and the use of modern methods such as educational and analytical phonetics programs; all this in an active learing atmosphere, employing various assessment tools (research paper, presentations and tests, etc.)"
ARAB352,Philology,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",,,"The course aims to enable students to understand the basic principles of the Arabic philology, particularly the concepts of language and philology and the difference between philology and the science of language, and the most important characteristics of the Arabic language and its dialects and manifestations, which Arab linguists studied thoroughly, as well as the history of the Arabic language and its Semitic roots, its relationship with the Holy Quran, ending with contemporary Arabic language issues. The course offers different approaches, centered around the students' individual activities, such as training students on how to study the modern Arabic dialects and compare them to the characteristics of old Arabic dialects, and training them on the skills of scientific research; and at the group level, engaging in activities such as participating in panel discussions and dialogues. Throughout the course there are ongoing assessments of student performance and activities, using various assessment tools, such as assignments, presentations, participation in classroom discussions and blackboard forums, testing and scientific research - all in an active learing atmosphere."
ARAB354,Semantics,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"The course aims to enable students to understand the modern semantic theories and know their roots in the Arabic heritage; study the levels of semantics, types of meaning and the evolution of semantics. It also aims to provide students with the skills to understand semantics and differentiate between different meanings. The course further seeks to introduce students to the Arabic dictionary and make them acquire necessary skills for searching for the meanings of words in various Arabic dictionaries. Different approaches are centered around student activities, such as participating in panel discussions and dialogues and scientific research, using various assessment tools such as assignments, presentations, participation in classroom discussions and blackboard forums, testing and scientific research - all in an active learing atmosphere."
ARAB355,Applied Linguistics,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB351 OR ARAB248 ,"This course aims to enable students to learn the basic principles of Applied Linguistics, including the concept of applied linguistics, and linguistic research methods, and applied linguistics issues. This goal is achieved through introducing students to the requirements of linguistic research in the areas of applied linguistics. It also seeks provide the students with the skills of applying linguistic analysis to solve the problems of applied linguistics, in light of the experimental analytical studies (for example: acquiring native language, learning a second language, computers and the language). The course offers different approaches centered around the engagement of teacher and student during the lecture, and student applied activities, such as field research inside and outside the campus, individual contributions inside the classroom, introducing modern methods such as machine translation software, and morphological analysis using the Internet."
ARAB372,Persian Language II,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ",F,ARAB271 OR ARAB244 ,"This course aims to combine theory and application in the study of Persian texts, to help the student acquire the ability to produce a speech in the Persian language. This is done through reference content which sheds light on profound rules provided throughout the texts of selected masterpieces of Persian literature by: Mtughari, Al-Ferdowsi, Omar Al-Khayyam, and Saiid Shirazi, with special care for the methods of modern prose in particular with translation and commentary, which works towards improving the climate of individual and cooperative active learning."
ARAB375,Phonology,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB218 OR ARAB346 ,"This course aims to help the students acquire the skills of Arabic phonological analysis, as one of the levels of Linguistics, through the identification of physiological physical characteristics of sounds, and train the student on the International Phonetic Alphabet (IPA), and the classification Arabic phonemes according to points of articulation, then training them on international phonemic writing. The course also links the levels phonetics and phonology in terms of studying phonemic changes in the context of theories of the basics of phonological analysis on the syllabic and para-syllabic levels, and the focus of this course is to highlight the importance of the level of phonology in linguistic analysis and its overlapping with other levels such as the morphological level (words) and the syntax level (sentences). The course is conducted in an active learning atmosphere, focusing on the role of the student and the development of his/her applied skills, employing a variety of assessment tools, such as: applied and analytical assignments, and field studies."
ARAB381,Modern & Cont. Arab.  Poetry,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB221 OR ARAB240 ,"The purpose of this course is to help the students know about contemporary poetry practices , transformation paths, and their achievements. The theoretical part of the course will focus on the modern schools of poetry (restoration, romance, realism, and symbolism), and will also look into the styles of poetry (structured, free style, and prose). Furthermore, the theoretical part will study the relationship between these schools and poetry styles and classical traditional Arabic poetry, and how they drew from it or contradicted with it. Also, focus will be placed on the relationship of modern Arabic poetry with the achievements of the flags of western poets, especially the achievements of William Blake, Coleridge, Wordsworth, Shelly, Keats, Lamartine, and T.S. Elliott. As for the practical part, it will focus on the analysis of texts representing those schools and their achievements to assimilate the questions proposed to the Arabic poetic taste, and uncover their aesthetic achievements; all this in an atmosphere of active learning, employing various assessment tools (modern and contemporary poetry readings [20%], research paper, presentations and tests, etc.)"
ARAB382,Modern Narratives,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB224 ,"The purpose of this course is to acquaint students with the modern narrative arts which were developed in the contemporary Arabic culture. The theoretical part deals with the emergence of the arts of novel, story and resume; and the qualitative development in every literary genre, taking into account the role played by the acculturation with western cultures in the consolidation of such genres into the Arabic culture and literature. As for the practical part, focus will be on analyzing selected texts to reveal the phenomenon of selective quotation from the West, then the phenomenon of immanence that took place after that, as well as to highlight aspects of development and experimentation in the content of modern Arabic narratives.  All this is done in an active learing atmosphere, employing various assessment tools (research paper, presentations and tests, etc.)"
ARAB391,Re.Res.&Meth.In Lang.&Lit.,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",,"This course aims to enable the student become skilled in the field of literary research and its methodologies, through accessing fundamental sources and references that are indispensable in academic research, such as: encyclopedias, dictionaries, book directories, states and cities books, biographies of language and grammar scholars, biographies of writers, Quranic sciences books, as well as knowing the scientific methodology which serves in researching in the sources, represented by the set of curricula employed in the study and analysis of sources, and taking into account the evolution in the field of literary curriculum.  All this is done so as to consitute an active learing atmosphere, employing various assessment tools (research paper, presentations and tests, etc.)"
ARAB392,Arabic Syntax,3,,Arts and Sciences,Arabic,"(UG) - Undergraduate , ","(S) - Standard Letter , ","LC-Lecture , ","F,S",ARAB319 OR ARAB246 ,"This course aims to introduce the principles of modern syntax, in particular the generative theory and how it addresses the Arabic language, with a focus on fundamentals of the studies, including: the ranking of words, grammatical statements, sentence structure, matching, parsing, and transformational processes, and whatever would highlight the influence of non-Arabic sentence on the structure of the Arabic sentence, in addition to other changes. Also, dealing with language samples from different sources, collecting them via various methods and ways, and focusing on field experimental research.  All this is done so as to consitute an active learing atmosphere, employing various assessment tools (research paper, presentations and tests, etc.)"
